seq,aou,english,french,spanish,order,family,genus,species,unid_combined,sci_name,GenLength
972,6295,Solitary Vireo (Blue-headed/Cassin's),Viréo à tête bleue (à tête bleue/de Cassin),Vireo cassinii / solitarius,Passeriformes,Vireonidae,Vireo,cassinii / solitarius,TRUE,Vireo cassinii / solitarius,2.3203652755
973,6292,Plumbeous Vireo,Viréo plombé,Vireo plumbeus,Passeriformes,Vireonidae,Vireo,plumbeus,TRUE,Vireo plumbeus,2.303455161
974,6296,unid. Plumbeous Vireo / Cassin's Vireo,unid Viréo plombé / Viréo de Cassin,Vireo plumbeus / cassinii,Passeriformes,Vireonidae,Vireo,plumbeus / cassinii,TRUE,Vireo plumbeus / cassinii,NA
975,6260,Philadelphia Vireo,Viréo de Philadelphie,Vireo philadelphicus,Passeriformes,Vireonidae,Vireo,philadelphicus,TRUE,Vireo philadelphicus,2.255599547
976,6270,Warbling Vireo,Viréo mélodieux,Vireo gilvus,Passeriformes,Vireonidae,Vireo,gilvus,TRUE,Vireo gilvus,2.719934475
978,6240,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,Passeriformes,Vireonidae,Vireo,olivaceus,TRUE,Vireo olivaceus,2.589017783
980,6230,Black-whiskered Vireo,Viréo à moustaches,Vireo altiloquus,Passeriformes,Vireonidae,Vireo,altiloquus,TRUE,Vireo altiloquus,2.860394463
984,6220,Loggerhead Shrike,Pie-grièche migratrice,Lanius ludovicianus,Passeriformes,Laniidae,Lanius,ludovicianus,TRUE,Lanius ludovicianus,2.702084494
985,6210,Northern Shrike,Pie-grièche boréale,Lanius borealis,Passeriformes,Laniidae,Lanius,borealis,TRUE,Lanius borealis,1.919442
986,4840,Canada Jay,Mésangeai du Canada,Perisoreus canadensis,Passeriformes,Corvidae,Perisoreus,canadensis,TRUE,Perisoreus canadensis,3.668742765
995,4830,Green Jay,Geai vert,Cyanocorax yncas,Passeriformes,Corvidae,Cyanocorax,yncas,TRUE,Cyanocorax yncas,7.142998682
999,4920,Pinyon Jay,Geai des pinèdes,Gymnorhinus cyanocephalus,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,TRUE,Gymnorhinus cyanocephalus,4.625597206
1000,4780,Steller's Jay,Geai de Steller,Cyanocitta stelleri,Passeriformes,Corvidae,Cyanocitta,stelleri,TRUE,Cyanocitta stelleri,4.326749528
1001,4770,Blue Jay,Geai bleu,Cyanocitta cristata,Passeriformes,Corvidae,Cyanocitta,cristata,TRUE,Cyanocitta cristata,5.15878621
1002,4790,Florida Scrub-Jay,Geai à gorge blanche,Aphelocoma coerulescens,Passeriformes,Corvidae,Aphelocoma,coerulescens,TRUE,Aphelocoma coerulescens,5.175549526
1003,4811,Island Scrub-Jay,Geai de Santa Cruz,Aphelocoma insularis,Passeriformes,Corvidae,Aphelocoma,insularis,TRUE,Aphelocoma insularis,4.745295137
1004,4812,California Scrub-Jay,Geai buissonnier,Aphelocoma californica,Passeriformes,Corvidae,Aphelocoma,californica,TRUE,Aphelocoma californica,4.745295137
1005,4813,Woodhouse's Scrub-Jay,Geai de Woodhouse,Aphelocoma woodhouseii,Passeriformes,Corvidae,Aphelocoma,woodhouseii,TRUE,Aphelocoma woodhouseii,4.745295137
1006,4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,unid Geai buissonnier / Geai de Woodhouse,Aphelocoma californica / woodhouseii,Passeriformes,Corvidae,Aphelocoma,californica / woodhouseii,TRUE,Aphelocoma californica / woodhouseii,NA
1008,4820,Mexican Jay,Geai du Mexique,Aphelocoma wollweberi,Passeriformes,Corvidae,Aphelocoma,wollweberi,TRUE,Aphelocoma wollweberi,5.563176083
1010,4910,Clark's Nutcracker,Cassenoix d'Amérique,Nucifraga columbiana,Passeriformes,Corvidae,Nucifraga,columbiana,TRUE,Nucifraga columbiana,4.395406084
1011,4750,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,Passeriformes,Corvidae,Pica,hudsonia,TRUE,Pica hudsonia,4.123549167
1012,4760,Yellow-billed Magpie,Pie à bec jaune,Pica nuttalli,Passeriformes,Corvidae,Pica,nuttalli,TRUE,Pica nuttalli,3.408051597
1014,4880,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,Passeriformes,Corvidae,Corvus,brachyrhynchos,TRUE,Corvus brachyrhynchos,7.993566253
1018,4900,Fish Crow,Corneille de rivage,Corvus ossifragus,Passeriformes,Corvidae,Corvus,ossifragus,TRUE,Corvus ossifragus,5.21193923
1019,4881,unid. American Crow / Fish Crow,unid Corneille d'Amérique / Corneille de rivage,Corvus brachyrhynchos / ossifragus,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus,TRUE,Corvus brachyrhynchos / ossifragus,NA
1021,4870,Chihuahuan Raven,Corbeau à cou blanc,Corvus cryptoleucus,Passeriformes,Corvidae,Corvus,cryptoleucus,TRUE,Corvus cryptoleucus,5.649748724
1022,4860,Common Raven,Grand Corbeau,Corvus corax,Passeriformes,Corvidae,Corvus,corax,TRUE,Corvus corax,7.464649592
1023,4865,unid. Chihuahuan Raven / Common Raven,unid Grand Corbeau / Corbeau à cou blanc,Corvus cryptoleucus / corax,Passeriformes,Corvidae,Corvus,cryptoleucus / corax,TRUE,Corvus cryptoleucus / corax,NA
1024,7460,Verdin,Auripare verdin,Auriparus flaviceps,Passeriformes,Remizidae,Auriparus,flaviceps,TRUE,Auriparus flaviceps,2.026468057
1025,7360,Carolina Chickadee,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis,TRUE,Poecile carolinensis,2.486529497
1026,7350,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus,TRUE,Poecile atricapillus,2.623277
1027,7380,Mountain Chickadee,Mésange de Gambel,Poecile gambeli,Passeriformes,Paridae,Poecile,gambeli,TRUE,Poecile gambeli,2.29350444
1028,7370,Mexican Chickadee,Mésange grise,Poecile sclateri,Passeriformes,Paridae,Poecile,sclateri,TRUE,Poecile sclateri,2.290191772
1029,7410,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Passeriformes,Paridae,Poecile,rufescens,TRUE,Poecile rufescens,2.208218433
1030,7400,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus,TRUE,Poecile hudsonicus,2.262583194
1032,7352,unid. Carolina Chickadee / Black-capped Chickadee,unid Mésange de Caroline / Mésange à tête noire,Poecile carolinensis / atricapillus,Passeriformes,Paridae,Poecile,carolinensis / atricapillus,TRUE,Poecile carolinensis / atricapillus,NA
1033,7353,unid. Black-capped Chickadee / Mountain Chickadee,unid Mésange à tête noire / Mésange de Gambel,Poecile atricapillus / gambeli,Passeriformes,Paridae,Poecile,atricapillus / gambeli,TRUE,Poecile atricapillus / gambeli,NA
1034,7354,unid. Black-capped Chickadee / Boreal Chickadee,unid Mésange à tête noire / Mésange à tête brune,Poecile atricapillus / hudsonicus,Passeriformes,Paridae,Poecile,atricapillus / hudsonicus,TRUE,Poecile atricapillus / hudsonicus,NA
1035,7351,unid. western chickadee species,unid Mésange sp. de l'Ouest,Poecile sp.,Passeriformes,Paridae,Poecile,sp.,TRUE,Poecile sp.,NA
1036,7340,Bridled Titmouse,Mésange arlequin,Baeolophus wollweberi,Passeriformes,Paridae,Baeolophus,wollweberi,TRUE,Baeolophus wollweberi,2.555563954
1037,7330,Oak Titmouse,Mésange unicolore,Baeolophus inornatus,Passeriformes,Paridae,Baeolophus,inornatus,TRUE,Baeolophus inornatus,2.500326492
1038,7331,Juniper Titmouse,Mésange des genévriers,Baeolophus ridgwayi,Passeriformes,Paridae,Baeolophus,ridgwayi,TRUE,Baeolophus ridgwayi,2.336777188
1039,7332,unid. Oak Titmouse / Juniper Titmouse,unid unid Mésange unicolore / Mésange des genévrie,Baeolophus inornatus / ridgwayi,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi,TRUE,Baeolophus inornatus / ridgwayi,NA
1040,7310,Tufted Titmouse,Mésange bicolore,Baeolophus bicolor,Passeriformes,Paridae,Baeolophus,bicolor,TRUE,Baeolophus bicolor,2.817908958
1041,7320,Black-crested Titmouse,Mésange à plumet noir,Baeolophus atricristatus,Passeriformes,Paridae,Baeolophus,atricristatus,TRUE,Baeolophus atricristatus,2.773136012
1042,7315,unid. Tufted Titmouse / Black-crested Titmouse,unid Mésange bicolore / Mésange à plumet noir,Baeolophus bicolor / atricristatus,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus,TRUE,Baeolophus bicolor / atricristatus,NA
1043,4730,Eurasian Skylark,Alouette des champs,Alauda arvensis,Passeriformes,Alaudidae,Alauda,arvensis,TRUE,Alauda arvensis,2.833403383
1044,4740,Horned Lark,Alouette hausse-col,Eremophila alpestris,Passeriformes,Alaudidae,Eremophila,alpestris,TRUE,Eremophila alpestris,3.042270207
1052,6160,Bank Swallow,Hirondelle de rivage,Riparia riparia,Passeriformes,Hirundinidae,Riparia,riparia,TRUE,Riparia riparia,2.279290105
1053,6140,Tree Swallow,Hirondelle bicolore,Tachycineta bicolor,Passeriformes,Hirundinidae,Tachycineta,bicolor,TRUE,Tachycineta bicolor,2.574948263
1055,6150,Violet-green Swallow,Hirondelle à face blanche,Tachycineta thalassina,Passeriformes,Hirundinidae,Tachycineta,thalassina,TRUE,Tachycineta thalassina,2.255309784
1059,6170,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,TRUE,Stelgidopteryx serripennis,2.026909388
1062,6110,Purple Martin,Hirondelle noire,Progne subis,Passeriformes,Hirundinidae,Progne,subis,TRUE,Progne subis,2.865840726
1067,6130,Barn Swallow,Hirondelle rustique,Hirundo rustica,Passeriformes,Hirundinidae,Hirundo,rustica,TRUE,Hirundo rustica,3.132150175
1069,6120,Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,TRUE,Petrochelidon pyrrhonota,2.563576795
1070,6121,Cave Swallow,Hirondelle à front brun,Petrochelidon fulva,Passeriformes,Hirundinidae,Petrochelidon,fulva,TRUE,Petrochelidon fulva,2.668670335
1071,6122,unid. Cave Swallow / Cliff Swallow,unid Hirondelle à front blanc / à front brun,Petrochelidon pyrrhonota / fulva,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota / fulva,TRUE,Petrochelidon pyrrhonota / fulva,NA
1072,7430,Bushtit,Orite buissonnière,Psaltriparus minimus,Passeriformes,Aegithalidae,Psaltriparus,minimus,TRUE,Psaltriparus minimus,2.148992039
1079,7470,Arctic Warbler,Pouillot boréal,Phylloscopus borealis,Passeriformes,Phylloscopidae,Phylloscopus,borealis,TRUE,Phylloscopus borealis,2.064107876
1084,7420,Wrentit,Cama brune,Chamaea fasciata,Passeriformes,Sylviidae,Chamaea,fasciata,TRUE,Chamaea fasciata,2.764946534
1085,7421,Swinhoes White-eye,Zostérops de Swinhoe,Zosterops simplex,Passeriformes,Zosteropidae,Zosterops,simplex,TRUE,Zosterops simplex,2.136093297
1086,7490,Ruby-crowned Kinglet,Roitelet à couronne rubis,Corthylio calendula,Passeriformes,Regulidae,Corthylio,calendula,TRUE,Corthylio calendula,2.097204457
1087,7480,Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,Passeriformes,Regulidae,Regulus,satrapa,TRUE,Regulus satrapa,1.778840172
1088,6180,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,Passeriformes,Bombycillidae,Bombycilla,garrulus,TRUE,Bombycilla garrulus,2.812218458
1089,6190,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,Passeriformes,Bombycillidae,Bombycilla,cedrorum,TRUE,Bombycilla cedrorum,2.377284295
1090,6185,unid. Cedar Waxwing / Bohemian Waxwing,unid Jaseur sp.,Bombycilla garrulus / cedrorum,Passeriformes,Bombycillidae,Bombycilla,garrulus / cedrorum,TRUE,Bombycilla garrulus / cedrorum,NA
1092,6200,Phainopepla,Phénopèple luisant,Phainopepla nitens,Passeriformes,Ptiliogonatidae,Phainopepla,nitens,TRUE,Phainopepla nitens,2.351991131
1093,7280,Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,Passeriformes,Sittidae,Sitta,canadensis,TRUE,Sitta canadensis,2.160160436
1094,7270,White-breasted Nuthatch,Sittelle à poitrine blanche,Sitta carolinensis,Passeriformes,Sittidae,Sitta,carolinensis,TRUE,Sitta carolinensis,2.255599547
1095,7300,Pygmy Nuthatch,Sittelle pygmée,Sitta pygmaea,Passeriformes,Sittidae,Sitta,pygmaea,TRUE,Sitta pygmaea,2.593836899
1096,7290,Brown-headed Nuthatch,Sittelle à tête brune,Sitta pusilla,Passeriformes,Sittidae,Sitta,pusilla,TRUE,Sitta pusilla,2.710632816
1097,7260,Brown Creeper,Grimpereau brun,Certhia americana,Passeriformes,Certhiidae,Certhia,americana,TRUE,Certhia americana,1.724861893
1101,7510,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea,TRUE,Polioptila caerulea,1.837491668
1102,7520,Black-tailed Gnatcatcher,Gobemoucheron à queue noire,Polioptila melanura,Passeriformes,Polioptilidae,Polioptila,melanura,TRUE,Polioptila melanura,1.686474104
1103,7539,unid. Blue-gray / Black-tailed Gnatcatcher,unid Gobemoucheron gris-bleu / à queue noire,Polioptila caerulea / melanura,Passeriformes,Polioptilidae,Polioptila,caerulea / melanura,TRUE,Polioptila caerulea / melanura,NA
1104,7530,California Gnatcatcher,Gobemoucheron de Californie,Polioptila californica,Passeriformes,Polioptilidae,Polioptila,californica,TRUE,Polioptila californica,2.05456115
1107,7150,Rock Wren,Troglodyte des rochers,Salpinctes obsoletus,Passeriformes,Troglodytidae,Salpinctes,obsoletus,TRUE,Salpinctes obsoletus,1.985917675
1109,7170,Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,Passeriformes,Troglodytidae,Catherpes,mexicanus,TRUE,Catherpes mexicanus,1.818057318
1119,16600,Sinaloa Wren,Troglodyte du Sinaloa,Thryophilus sinaloa,Passeriformes,Troglodytidae,Thryophilus,sinaloa,TRUE,Thryophilus sinaloa,1.990179492
1128,7130,Cactus Wren,Troglodyte des cactus,Campylorhynchus brunneicapillus,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,TRUE,Campylorhynchus brunneicapillus,2.600460286
1129,7190,Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,Passeriformes,Troglodytidae,Thryomanes,bewickii,TRUE,Thryomanes bewickii,1.994533614
1130,7180,Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,TRUE,Thryothorus ludovicianus,2.179122367
1131,7210,House Wren,Troglodyte familier,Troglodytes aedon,Passeriformes,Troglodytidae,Troglodytes,aedon,TRUE,Troglodytes aedon,2.13714676
1135,7221,Pacific Wren,Troglodyte de Baird,Troglodytes pacificus,Passeriformes,Troglodytidae,Troglodytes,pacificus,TRUE,Troglodytes pacificus,1.912086464
1136,7222,Winter Wren,Troglodyte des forêts,Troglodytes hiemalis,Passeriformes,Troglodytidae,Troglodytes,hiemalis,TRUE,Troglodytes hiemalis,1.781788398
1137,7220,unid. Pacific Wren / Winter Wren,unid Troglodyte des forêts / Troglodyte de Baird,Troglodytes pacificus / hiemalis,Passeriformes,Troglodytidae,Troglodytes,pacificus / hiemalis,TRUE,Troglodytes pacificus / hiemalis,NA
1138,7240,Sedge Wren,Troglodyte à bec court,Cistothorus stellaris,Passeriformes,Troglodytidae,Cistothorus,stellaris,TRUE,Cistothorus stellaris,2.275027239
1140,7250,Marsh Wren,Troglodyte des marais,Cistothorus palustris,Passeriformes,Troglodytidae,Cistothorus,palustris,TRUE,Cistothorus palustris,2.000993233
1144,7040,Gray Catbird,Moqueur chat,Dumetella carolinensis,Passeriformes,Mimidae,Dumetella,carolinensis,TRUE,Dumetella carolinensis,3.464713412
1145,7070,Curve-billed Thrasher,Moqueur à bec courbe,Toxostoma curvirostre,Passeriformes,Mimidae,Toxostoma,curvirostre,TRUE,Toxostoma curvirostre,2.892583828
1147,7050,Brown Thrasher,Moqueur roux,Toxostoma rufum,Passeriformes,Mimidae,Toxostoma,rufum,TRUE,Toxostoma rufum,2.681555771
1148,7060,Long-billed Thrasher,Moqueur à long bec,Toxostoma longirostre,Passeriformes,Mimidae,Toxostoma,longirostre,TRUE,Toxostoma longirostre,2.432853404
1150,7080,Bendire's Thrasher,Moqueur de Bendire,Toxostoma bendirei,Passeriformes,Mimidae,Toxostoma,bendirei,TRUE,Toxostoma bendirei,2.536164707
1152,7100,California Thrasher,Moqueur de Californie,Toxostoma redivivum,Passeriformes,Mimidae,Toxostoma,redivivum,TRUE,Toxostoma redivivum,2.959549169
1153,7110,LeConte's Thrasher,Moqueur de LeConte,Toxostoma lecontei,Passeriformes,Mimidae,Toxostoma,lecontei,TRUE,Toxostoma lecontei,2.523927773
1154,7120,Crissal Thrasher,Moqueur cul-roux,Toxostoma crissale,Passeriformes,Mimidae,Toxostoma,crissale,TRUE,Toxostoma crissale,2.798039596
1155,7020,Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,Passeriformes,Mimidae,Oreoscoptes,montanus,TRUE,Oreoscoptes montanus,2.475182001
1156,7031,Bahama Mockingbird,Moqueur des Bahamas,Mimus gundlachii,Passeriformes,Mimidae,Mimus,gundlachii,TRUE,Mimus gundlachii,3.382807786
1159,7030,Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,Passeriformes,Mimidae,Mimus,polyglottos,TRUE,Mimus polyglottos,3.761658285
1160,4930,European Starling,Étourneau sansonnet,Sturnus vulgaris,Passeriformes,Sturnidae,Sturnus,vulgaris,TRUE,Sturnus vulgaris,5.650993902
1161,4932,Common Myna,Martin triste,Acridotheres tristis,Passeriformes,Sturnidae,Acridotheres,tristis,TRUE,Acridotheres tristis,3.211699055
1162,7010,American Dipper,Cincle d'Amérique,Cinclus mexicanus,Passeriformes,Cinclidae,Cinclus,mexicanus,TRUE,Cinclus mexicanus,2.518614967
1163,7660,Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,Passeriformes,Turdidae,Sialia,sialis,TRUE,Sialia sialis,2.37074215
1164,7670,Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,Passeriformes,Turdidae,Sialia,mexicana,TRUE,Sialia mexicana,2.110735311
1165,7680,Mountain Bluebird,Merlebleu azuré,Sialia currucoides,Passeriformes,Turdidae,Sialia,currucoides,TRUE,Sialia currucoides,2.154883319
1166,7540,Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,Passeriformes,Turdidae,Myadestes,townsendi,TRUE,Myadestes townsendi,2.604380783
1174,7560,Veery,Grive fauve,Catharus fuscescens,Passeriformes,Turdidae,Catharus,fuscescens,TRUE,Catharus fuscescens,2.717673017
1175,7570,Gray-cheeked Thrush,Grive à joues grises,Catharus minimus,Passeriformes,Turdidae,Catharus,minimus,TRUE,Catharus minimus,2.310912736
1176,7571,Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,Passeriformes,Turdidae,Catharus,bicknelli,TRUE,Catharus bicknelli,2.319425416
1177,7580,Swainson's Thrush,Grive à dos olive,Catharus ustulatus,Passeriformes,Turdidae,Catharus,ustulatus,TRUE,Catharus ustulatus,2.471010853
1178,7590,Hermit Thrush,Grive solitaire,Catharus guttatus,Passeriformes,Turdidae,Catharus,guttatus,TRUE,Catharus guttatus,2.286469271
1179,7550,Wood Thrush,Grive des bois,Hylocichla mustelina,Passeriformes,Turdidae,Hylocichla,mustelina,TRUE,Hylocichla mustelina,2.404420008
1189,7621,Clay-colored Thrush,Merle fauve,Turdus grayi,Passeriformes,Turdidae,Turdus,grayi,TRUE,Turdus grayi,4.161964869
1193,7610,American Robin,Merle d'Amérique,Turdus migratorius,Passeriformes,Turdidae,Turdus,migratorius,TRUE,Turdus migratorius,3.146893471
1195,7630,Varied Thrush,Grive à collier,Ixoreus naevius,Passeriformes,Turdidae,Ixoreus,naevius,TRUE,Ixoreus naevius,2.371356469
1204,7640,Bluethroat,Gorgebleue à miroir,Cyanecula svecica,Passeriformes,Muscicapidae,Cyanecula,svecica,TRUE,Cyanecula svecica,2.484010114
1212,7650,Northern Wheatear,Traquet motteux,Oenanthe oenanthe,Passeriformes,Muscicapidae,Oenanthe,oenanthe,TRUE,Oenanthe oenanthe,2.246001873
1214,6510,Olive Warbler,Fauvine des pins,Peucedramus taeniatus,Passeriformes,Peucedramidae,Peucedramus,taeniatus,TRUE,Peucedramus taeniatus,2.208186825
1215,19500,Northern Red Bishop,Euplecte franciscain,Euplectes franciscanus,Passeriformes,Ploceidae,Euplectes,franciscanus,TRUE,Euplectes franciscanus,2.365350054
1216,19510,Pin-tailed Whydah,Veuve dominicaine,Vidua macroura,Passeriformes,Viduidae,Vidua,macroura,TRUE,Vidua macroura,1.952813589
1217,8110,Scaly-breasted Munia,Capucin damier,Lonchura punctulata,Passeriformes,Estrildidae,Lonchura,punctulata,TRUE,Lonchura punctulata,2.052927104
1221,6882,House Sparrow,Moineau domestique,Passer domesticus,Passeriformes,Passeridae,Passer,domesticus,TRUE,Passer domesticus,3.726344591
1222,6883,Eurasian Tree Sparrow,Moineau friquet,Passer montanus,Passeriformes,Passeridae,Passer,montanus,TRUE,Passer montanus,2.719771587
1223,6960,Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,Passeriformes,Motacillidae,Motacilla,tschutschensis,TRUE,Motacilla tschutschensis,2.304402096
1226,6940,White Wagtail,Bergeronnette grise,Motacilla alba,Passeriformes,Motacillidae,Motacilla,alba,TRUE,Motacilla alba,2.805220482
1230,6990,Red-throated Pipit,Pipit à gorge rousse,Anthus cervinus,Passeriformes,Motacillidae,Anthus,cervinus,TRUE,Anthus cervinus,2.209202316
1231,6970,American Pipit,Pipit d'Amérique,Anthus rubescens,Passeriformes,Motacillidae,Anthus,rubescens,TRUE,Anthus rubescens,2.058400577
1232,7000,Sprague's Pipit,Pipit de Sprague,Anthus spragueii,Passeriformes,Motacillidae,Anthus,spragueii,TRUE,Anthus spragueii,1.940463213
1243,5140,Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,Passeriformes,Fringillidae,Coccothraustes,vespertinus,TRUE,Coccothraustes vespertinus,3.098212161
1247,5150,Pine Grosbeak,Durbec des sapins,Pinicola enucleator,Passeriformes,Fringillidae,Pinicola,enucleator,TRUE,Pinicola enucleator,2.594824817
1250,5240,Gray-crowned Rosy-Finch,Roselin à tête grise,Leucosticte tephrocotis,Passeriformes,Fringillidae,Leucosticte,tephrocotis,TRUE,Leucosticte tephrocotis,2.193455701
1251,5250,Black Rosy-Finch,Roselin noir,Leucosticte atrata,Passeriformes,Fringillidae,Leucosticte,atrata,TRUE,Leucosticte atrata,2.263630486
1252,5260,Brown-capped Rosy-Finch,Roselin à tête brune,Leucosticte australis,Passeriformes,Fringillidae,Leucosticte,australis,TRUE,Leucosticte australis,2.036160758
1253,5190,House Finch,Roselin familier,Haemorhous mexicanus,Passeriformes,Fringillidae,Haemorhous,mexicanus,TRUE,Haemorhous mexicanus,2.506719457
1254,5170,Purple Finch,Roselin pourpré,Haemorhous purpureus,Passeriformes,Fringillidae,Haemorhous,purpureus,TRUE,Haemorhous purpureus,2.847863485
1255,5180,Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,Passeriformes,Fringillidae,Haemorhous,cassinii,TRUE,Haemorhous cassinii,2.375655281
1256,5195,unid. Purple Finch / Cassin's Finch / House Finch,unid Roselin pourpré / de Cassin / familier,Carpodacus purpureus / cassinii / mexicanus,Passeriformes,Fringillidae,Carpodacus,purpureus / cassinii / mexicanus,TRUE,Carpodacus purpureus / cassinii / mexicanus,NA
1259,5280,Common Redpoll,Sizerin flammé,Acanthis flammea,Passeriformes,Fringillidae,Acanthis,flammea,TRUE,Acanthis flammea,2.592005464
1260,5270,Hoary Redpoll,Sizerin blanchâtre,Acanthis hornemanni,Passeriformes,Fringillidae,Acanthis,hornemanni,TRUE,Acanthis hornemanni,2.592005464
1261,5275,Redpoll (Common/Hoary),Sizerin (Flammé/Blanchâtre),Carduelis flammea / hornemanni,Passeriformes,Fringillidae,Carduelis,flammea / hornemanni,TRUE,Carduelis flammea / hornemanni,2.592005464
1262,5210,Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,Passeriformes,Fringillidae,Loxia,curvirostra,TRUE,Loxia curvirostra,3.161850713
1264,5212,Unid. Cassia Crossbill / Red Crossbill,Unid Bec-croisé de l'Idaho / des sapins,Loxia sinesciuris / curvirostra,Passeriformes,Fringillidae,Loxia,sinesciuris / curvirostra,TRUE,Loxia sinesciuris / curvirostra,NA
1265,5220,White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,Passeriformes,Fringillidae,Loxia,leucoptera,TRUE,Loxia leucoptera,1.999659757
1266,5225,unid. Red Crossbill / White-winged Crossbill,unid Bec-croisé des sapins / Bec-croisé bifascié,Loxia curvirostra / leucoptera,Passeriformes,Fringillidae,Loxia,curvirostra / leucoptera,TRUE,Loxia curvirostra / leucoptera,NA
1267,5261,European Goldfinch,Chardonneret élégant,Carduelis carduelis,Passeriformes,Fringillidae,Carduelis,carduelis,TRUE,Carduelis carduelis,2.528040959
1269,5330,Pine Siskin,Tarin des pins,Spinus pinus,Passeriformes,Fringillidae,Spinus,pinus,TRUE,Spinus pinus,2.353143059
1272,5300,Lesser Goldfinch,Chardonneret mineur,Spinus psaltria,Passeriformes,Fringillidae,Spinus,psaltria,TRUE,Spinus psaltria,2.089842577
1273,5310,Lawrence's Goldfinch,Chardonneret gris,Spinus lawrencei,Passeriformes,Fringillidae,Spinus,lawrencei,TRUE,Spinus lawrencei,2.073691654
1274,5290,American Goldfinch,Chardonneret jaune,Spinus tristis,Passeriformes,Fringillidae,Spinus,tristis,TRUE,Spinus tristis,2.379974974
1276,5360,Lapland Longspur,Plectrophane lapon,Calcarius lapponicus,Passeriformes,Calcariidae,Calcarius,lapponicus,TRUE,Calcarius lapponicus,2.584916869
1277,5380,Chestnut-collared Longspur,Plectrophane à ventre noir,Calcarius ornatus,Passeriformes,Calcariidae,Calcarius,ornatus,TRUE,Calcarius ornatus,2.275903816
1278,5370,Smith's Longspur,Plectrophane de Smith,Calcarius pictus,Passeriformes,Calcariidae,Calcarius,pictus,TRUE,Calcarius pictus,2.743933747
1279,5390,Thick-billed Longspur,Plectrophane de McCown,Rhynchophanes mccownii,Passeriformes,Calcariidae,Rhynchophanes,mccownii,TRUE,Rhynchophanes mccownii,2.508512634
1280,5340,Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,Passeriformes,Calcariidae,Plectrophenax,nivalis,TRUE,Plectrophenax nivalis,2.640707546
1292,5790,Rufous-winged Sparrow,Bruant à épaulettes,Peucaea carpalis,Passeriformes,Passerellidae,Peucaea,carpalis,TRUE,Peucaea carpalis,1.824628728
1297,5760,Botteri's Sparrow,Bruant de Botteri,Peucaea botterii,Passeriformes,Passerellidae,Peucaea,botterii,TRUE,Peucaea botterii,2.111959508
1298,5780,Cassin's Sparrow,Bruant de Cassin,Peucaea cassinii,Passeriformes,Passerellidae,Peucaea,cassinii,TRUE,Peucaea cassinii,1.998739509
1299,5750,Bachman's Sparrow,Bruant des pinèdes,Peucaea aestivalis,Passeriformes,Passerellidae,Peucaea,aestivalis,TRUE,Peucaea aestivalis,2.01129262
1300,5460,Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,Passeriformes,Passerellidae,Ammodramus,savannarum,TRUE,Ammodramus savannarum,2.152036823
